VOV_V,N_ids_A,N_gm_S,N_gds_S,N_gm_over_Id,P_abs_ids_A,P_gm_S,P_gm_over_Id
0.2100000000000001,2.425500000000003e-05,0.0002310000000000002,2.205000000000003e-06,9.52380952380952,2.425500000000003e-05,0.0002310000000000002,9.52380952380952
0.2150000000000001,2.542375000000004e-05,0.0002365000000000002,2.311250000000003e-06,9.302325581395342,2.542375000000001e-05,0.0002365000000000001,9.30232558139535
0.2200000000000001,2.662000000000004e-05,0.0002420000000000002,2.420000000000004e-06,9.090909090909085,2.662000000000004e-05,0.0002420000000000002,9.090909090909085
0.2250000000000001,2.784375000000004e-05,0.0002475000000000002,2.531250000000004e-06,8.888888888888884,2.784375000000001e-05,0.0002475000000000001,8.88888888888889
0.2300000000000001,2.909500000000004e-05,0.0002530000000000002,2.645000000000003e-06,8.695652173913038,2.909500000000004e-05,0.0002530000000000002,8.695652173913038
0.2350000000000002,3.037375000000004e-05,0.0002585000000000002,2.761250000000004e-06,8.510638297872337,3.037375000000001e-05,0.0002585,8.510638297872337
0.2400000000000002,3.168000000000005e-05,0.0002640000000000002,2.880000000000004e-06,8.333333333333327,3.168000000000005e-05,0.0002640000000000002,8.333333333333327
0.2450000000000002,3.301375000000004e-05,0.0002695000000000002,3.001250000000004e-06,8.163265306122444,3.301375000000002e-05,0.0002695000000000001,8.163265306122446
0.2500000000000002,3.437500000000005e-05,0.0002750000000000002,3.125000000000004e-06,7.999999999999994,3.437500000000005e-05,0.0002750000000000002,7.999999999999994
0.2550000000000002,3.576375000000006e-05,0.0002805000000000002,3.251250000000005e-06,7.8431372549019525,3.576375000000002e-05,0.0002805000000000001,7.843137254901959
0.2600000000000002,3.718000000000005e-05,0.0002860000000000002,3.380000000000005e-06,7.692307692307687,3.718000000000005e-05,0.0002860000000000002,7.692307692307687
0.2650000000000002,3.862375000000007e-05,0.0002915000000000003,3.511250000000006e-06,7.547169811320749,3.862375000000002e-05,0.0002915000000000001,7.547169811320754
0.2700000000000002,4.009500000000006e-05,0.0002970000000000002,3.645000000000005e-06,7.407407407407401,4.009500000000006e-05,0.0002970000000000002,7.407407407407401
0.2750000000000002,4.159375000000006e-05,0.0003025000000000002,3.781250000000006e-06,7.272727272727267,4.159375000000003e-05,0.0003025000000000001,7.272727272727269
0.2800000000000002,4.312000000000006e-05,0.0003080000000000002,3.920000000000006e-06,7.142857142857138,4.312000000000006e-05,0.0003080000000000002,7.142857142857138
0.2850000000000002,4.467375000000007e-05,0.0003135000000000002,4.061250000000006e-06,7.017543859649116,4.467375000000003e-05,0.0003135000000000001,7.01754385964912
0.2900000000000002,4.625500000000007e-05,0.0003190000000000003,4.205000000000006e-06,6.896551724137926,4.625500000000007e-05,0.0003190000000000003,6.896551724137926
0.2950000000000002,4.786375000000007e-05,0.0003245000000000003,4.351250000000006e-06,6.779661016949149,4.786375000000004e-05,0.0003245000000000001,6.779661016949149
0.3000000000000002,4.950000000000006e-05,0.0003300000000000002,4.500000000000006e-06,6.666666666666663,4.950000000000006e-05,0.0003300000000000002,6.666666666666663
0.3050000000000002,5.116375000000008e-05,0.0003355000000000002,4.651250000000007e-06,6.557377049180322,5.116375000000004e-05,0.0003355000000000001,6.5573770491803245
0.3100000000000002,5.285500000000008e-05,0.0003410000000000003,4.805000000000007e-06,6.4516129032258025,5.285500000000008e-05,0.0003410000000000003,6.4516129032258025
0.3150000000000002,5.457375000000009e-05,0.0003465000000000003,4.961250000000008e-06,6.349206349206344,5.457375000000004e-05,0.0003465000000000002,6.349206349206348
0.3200000000000002,5.632000000000008e-05,0.0003520000000000003,5.120000000000008e-06,6.249999999999997,5.632000000000008e-05,0.0003520000000000003,6.249999999999997
